T: 12.500000	M: -0.161711
T: 12.600000	M: -0.160360
T: 12.700000	M: -0.158960
T: 12.800000	M: -0.157758
T: 12.900000	M: -0.156624
T: 13.000000	M: -0.155318
T: 13.100000	M: -0.154140
T: 13.200000	M: -0.152946
T: 13.300000	M: -0.151995
T: 13.400000	M: -0.150579
