T: 17.500000	M: -0.114827
T: 17.600000	M: -0.114199
T: 17.700000	M: -0.113742
T: 17.800000	M: -0.112916
T: 17.900000	M: -0.112193
T: 18.000000	M: -0.111717
T: 18.100000	M: -0.111054
T: 18.200000	M: -0.110459
T: 18.300000	M: -0.109954
T: 18.400000	M: -0.109175
