T: 11.500000	M: -0.174412
T: 11.600000	M: -0.174130
T: 11.700000	M: -0.172926
T: 11.800000	M: -0.170931
T: 11.900000	M: -0.170963
T: 12.000000	M: -0.168022
T: 12.100000	M: -0.167084
T: 12.200000	M: -0.167035
T: 12.300000	M: -0.164602
T: 12.400000	M: -0.162419
