T: 2.500000	M: -1.181636
T: 2.600000	M: -1.077191
T: 2.700000	M: -1.002095
T: 2.800000	M: -0.930643
T: 2.900000	M: -0.873423
T: 3.000000	M: -0.823682
T: 3.100000	M: -0.786181
T: 3.200000	M: -0.751097
T: 3.300000	M: -0.718775
T: 3.400000	M: -0.684594
