T: 0.500000	M: -2.000000
T: 0.600000	M: -1.999976
T: 0.700000	M: -1.999922
T: 0.800000	M: -1.999594
T: 0.900000	M: -1.998838
T: 1.000000	M: -1.997268
T: 1.100000	M: -1.994088
T: 1.200000	M: -1.988934
T: 1.300000	M: -1.980366
T: 1.400000	M: -1.967188
