T: 4.500000	M: -0.483871
T: 4.600000	M: -0.471508
T: 4.700000	M: -0.459924
T: 4.800000	M: -0.448660
T: 4.900000	M: -0.438375
T: 5.000000	M: -0.427888
T: 5.100000	M: -0.418827
T: 5.200000	M: -0.409504
T: 5.300000	M: -0.400831
T: 5.400000	M: -0.392515
