T: 10.500000	M: -0.193810
T: 10.600000	M: -0.190944
T: 10.700000	M: -0.191012
T: 10.800000	M: -0.187772
T: 10.900000	M: -0.187009
T: 11.000000	M: -0.183585
T: 11.100000	M: -0.183200
T: 11.200000	M: -0.180032
T: 11.300000	M: -0.178859
T: 11.400000	M: -0.177974
