T: 14.500000	M: -0.139076
T: 14.600000	M: -0.138541
T: 14.700000	M: -0.137331
T: 14.800000	M: -0.136148
T: 14.900000	M: -0.135717
T: 15.000000	M: -0.134978
T: 15.100000	M: -0.133298
T: 15.200000	M: -0.132000
T: 15.300000	M: -0.130326
T: 15.400000	M: -0.131709
