T: 18.500000	M: -0.109045
T: 18.600000	M: -0.107826
T: 18.700000	M: -0.106893
T: 18.800000	M: -0.106409
T: 18.900000	M: -0.104866
T: 19.000000	M: -0.106310
T: 19.100000	M: -0.104307
T: 19.200000	M: -0.104381
T: 19.300000	M: -0.103441
T: 19.400000	M: -0.103187
