i: 1	corr_func: 0.000393
i: 2	corr_func: 0.000513
i: 3	corr_func: 0.000593
i: 4	corr_func: 0.001033
i: 5	corr_func: 0.000753
i: 6	corr_func: 0.001193
i: 7	corr_func: 0.000873
i: 8	corr_func: 0.000713
i: 9	corr_func: 0.000713
i: 10	corr_func: 0.000793
i: 11	corr_func: 0.001153
i: 12	corr_func: 0.000353
i: 13	corr_func: 0.000673
i: 14	corr_func: 0.000473
i: 15	corr_func: 0.000993
i: 16	corr_func: 0.000833
i: 17	corr_func: 0.000433
i: 18	corr_func: 0.000433
i: 19	corr_func: 0.000673
i: 20	corr_func: 0.000993
i: 21	corr_func: 0.000433
i: 22	corr_func: 0.000673
i: 23	corr_func: 0.001513
i: 24	corr_func: 0.000473
i: 25	corr_func: 0.000953
i: 26	corr_func: 0.000633
i: 27	corr_func: 0.000953
i: 28	corr_func: 0.000833
i: 29	corr_func: 0.001073
i: 30	corr_func: 0.000913
i: 31	corr_func: 0.000833
i: 32	corr_func: 0.001233
i: 33	corr_func: 0.000673
i: 34	corr_func: 0.000993
i: 35	corr_func: 0.000313
i: 36	corr_func: 0.000993
i: 37	corr_func: 0.000513
i: 38	corr_func: 0.000473
i: 39	corr_func: 0.001433
i: 40	corr_func: 0.000513
i: 41	corr_func: 0.000793
i: 42	corr_func: 0.001273
i: 43	corr_func: 0.000793
i: 44	corr_func: 0.001073
i: 45	corr_func: 0.000993
i: 46	corr_func: 0.000233
i: 47	corr_func: 0.000793
i: 48	corr_func: 0.000753
i: 49	corr_func: 0.001233
