0.000000	0.000000
597.955325	340.368938
1180.230421	662.129332
1747.981590	966.174764
2302.235251	1253.297158
2843.906472	1524.201498
3373.814264	1779.517982
3892.694295	2019.812145
4401.209541	2245.593343
4899.959247	2457.321911
5389.486531	2655.415239
5870.284848	2840.252960
6342.803536	3012.181409
6807.452576	3171.517468
7264.606710	3318.551897
7714.609013	3453.552250
8157.774002	3576.765417
8594.390352	3688.419866
9024.723284	3788.727626
9449.016663	3877.886044
9867.494847	3956.079354
10280.364332	4023.480079
10687.815212	4080.250298
11090.022471	4126.542781
11487.147151	4162.502029
11879.337390	4188.265212
12266.729359	4203.963029
12649.448105	4209.720504
13027.608317	4205.657706
13401.315018	4191.890428
13770.664198	4168.530808
14135.743391	4135.687911
14496.632205	4093.468270
14853.402816	4041.976392
15206.120412	3981.315233
15554.843619	3911.586645
15899.624893	3832.891791
16240.510887	3745.331540
16577.542797	3649.006840
16910.756687	3544.019059
17240.183807	3430.470319
17565.850882	3308.463796
17887.780401	3178.104011
18205.990887	3039.497092
18520.497162	2892.751028
18831.310603	2737.975892
19138.439386	2575.284059
19441.888730	2404.790389
19741.661131	2226.612407
20037.756593	2040.870457
20330.172852	1847.687835
20618.905600	1647.190905
20903.948699	1439.509202
21185.294397	1224.775503
21462.933541	1003.125894
21736.855781	774.699799
22007.049776	539.640008
22273.503394	298.092669
22536.203914	50.207273
22795.138216	-203.863391
23050.292974	-463.963298
23301.654845	-729.933263
23549.210651	-1001.611049
23792.947556	-1278.831479
24032.853244	-1561.426586
24268.916086	-1849.225760
24501.125302	-2142.055933
24729.471121	-2439.741767
24953.944931	-2742.105867
25174.539421	-3048.969005
25391.248718	-3360.150360
25604.068515	-3675.467771
25812.996190	-3994.738004
26018.030920	-4317.777027
26219.173774	-4644.400290
26416.427813	-4974.423027
26609.798166	-5307.660544
26799.292100	-5643.928529
26984.919084	-5983.043351
27166.690835	-6324.822368
27344.621354	-6669.084229
27518.726959	-7015.649178
27689.026293	-7364.339345
27855.540336	-7714.979041
28018.292395	-8067.395034
28177.308088	-8421.416823
28332.615319	-8776.876901
28484.244240	-9133.610996
28632.227204	-9491.458312
28776.598714	-9850.261743
28917.395356	-10209.868079
29054.655730	-10570.128191
29188.420371	-10930.897199
29318.731666	-11292.034625
29445.633761	-11653.404525
29569.172468	-12014.875603
29689.395164	-12376.321305
29806.350690	-12737.619900
29920.089239	-13098.654538
30030.662256	-13459.313287
30138.122319	-13819.489164
30242.523036	-14179.080136
30343.918928	-14537.989113
30442.365323	-14896.123926
30537.918243	-15253.397283
30630.634296	-15609.726721
30720.570572	-15965.034540
30807.784538	-16319.247723
30892.333933	-16672.297852
30974.276678	-17024.121008
31053.670774	-17374.657666
31130.574215	-17723.852581
31205.044899	-18071.654668
31277.140549	-18418.016875
31346.918628	-18762.896051
31414.436272	-19106.252814
31479.750214	-19448.051409
31542.916723	-19788.259570
31603.991541	-20126.848378
31663.029825	-20463.792117
31720.086099	-20799.068134
31775.214203	-21132.656694
31828.467249	-21464.540838
31879.897584	-21794.706246
31929.556751	-22123.141101
31977.495459	-22449.835948
32023.763557	-22774.783565
32068.410007	-23097.978835
32111.482860	-23419.418617
32153.029244	-23739.101625
32193.095345	-24057.028312
32231.726399	-24373.200748
32268.966674	-24687.622519
32304.859475	-25000.298613
32339.447130	-25311.235320
32372.770992	-25620.440136
32404.871440	-25927.921666
32435.787876	-26233.689537
32465.558735	-26537.754311
32494.221484	-26840.127404
32521.812633	-27140.821008
32548.367743	-27439.848021
32573.921430	-27737.221971
32598.507382	-28032.956960
32622.158367	-28327.067594
32644.906246	-28619.568926
32666.781986	-28910.476407
32687.815673	-29199.805827
32708.036529	-29487.573273
32727.472923	-29773.795079
32746.152389	-30058.487786
32764.101644	-30341.668105
32781.346597	-30623.352875
32797.912374	-30903.559036
32813.823329	-31182.303591
32829.103059	-31459.603580
32843.774430	-31735.476053
32857.859582	-32009.938046
32871.379955	-32283.006556
32884.356302	-32554.698521
32896.808707	-32825.030801
32908.756598	-33094.020164
32920.218771	-33361.683263
32931.213399	-33628.036626
32941.758053	-33893.096646
32951.869716	-34156.879563
32961.564799	-34419.401457
32970.859159	-34680.678240
32979.768111	-34940.725645
32988.306446	-35199.559221
32996.488445	-35457.194326
33004.327892	-35713.646121
33011.838092	-35968.929565
33019.031883	-36223.059416
33025.921650	-36476.050219
33032.519339	-36727.916314
33038.836470	-36978.671824
33044.884150	-37228.330661
33050.673086	-37476.906523
33056.213600	-37724.412891
33061.515635	-37970.863033
33066.588773	-38216.270001
33071.442242	-38460.646636
33076.084934	-38704.005563
33080.525406	-38946.359198
33084.771900	-39187.719746
33088.832348	-39428.099206
33092.714386	-39667.509369
33096.425360	-39905.961823
33099.972338	-40143.467956
33103.362120	-40380.038955
33106.601245	-40615.685813
33109.696000	-40850.419329
33112.652433	-41084.250110
33115.476355	-41317.188578
33118.173353	-41549.244968
33120.748793	-41780.429335
33123.207835	-42010.751555
33125.555433	-42240.221327
33127.796346	-42468.848181
33129.935144	-42696.641475
33131.976217	-42923.610403
33133.923778	-43149.763993
33135.781870	-43375.111117
33137.554376	-43599.660488
33139.245020	-43823.420667
33140.857376	-44046.400063
33142.394870	-44268.606939
33143.860793	-44490.049411
33145.258295	-44710.735458
33146.590402	-44930.672917
33147.860010	-45149.869491
33149.069899	-45368.332748
33150.222731	-45586.070131
33151.321057	-45803.088950
33152.367322	-46019.396395
33153.363868	-46234.999533
33154.312937	-46449.905310
33155.216677	-46664.120559
33156.077146	-46877.651997
