T: 13.500000	M: -0.151274
T: 13.600000	M: -0.147245
T: 13.700000	M: -0.147153
T: 13.800000	M: -0.145919
T: 13.900000	M: -0.144152
T: 14.000000	M: -0.145020
T: 14.100000	M: -0.142677
T: 14.200000	M: -0.141051
T: 14.300000	M: -0.140948
T: 14.400000	M: -0.139435
