T: 10.500000	M: -0.192445
T: 10.600000	M: -0.190638
T: 10.700000	M: -0.191583
T: 10.800000	M: -0.188670
T: 10.900000	M: -0.186242
T: 11.000000	M: -0.183595
T: 11.100000	M: -0.182205
T: 11.200000	M: -0.181670
T: 11.300000	M: -0.178374
T: 11.400000	M: -0.178275
