T: 5.500000	M: -0.386368
T: 5.600000	M: -0.376999
T: 5.700000	M: -0.370279
T: 5.800000	M: -0.362583
T: 5.900000	M: -0.353903
T: 6.000000	M: -0.349421
T: 6.100000	M: -0.344631
T: 6.200000	M: -0.337495
T: 6.300000	M: -0.330442
T: 6.400000	M: -0.325578
