T: 15.500000	M: -0.130175
T: 15.600000	M: -0.129595
T: 15.700000	M: -0.127475
T: 15.800000	M: -0.127975
T: 15.900000	M: -0.126608
T: 16.000000	M: -0.126392
T: 16.100000	M: -0.124980
T: 16.200000	M: -0.124775
T: 16.300000	M: -0.123637
T: 16.400000	M: -0.122684
