T: 7.500000	M: -0.273124
T: 7.600000	M: -0.271729
T: 7.700000	M: -0.265500
T: 7.800000	M: -0.262569
T: 7.900000	M: -0.261443
T: 8.000000	M: -0.254755
T: 8.100000	M: -0.255172
T: 8.200000	M: -0.250575
T: 8.300000	M: -0.245436
T: 8.400000	M: -0.243740
