T: 18.500000	M: -0.109164
T: 18.600000	M: -0.108542
T: 18.700000	M: -0.107071
T: 18.800000	M: -0.106449
T: 18.900000	M: -0.106653
T: 19.000000	M: -0.104439
T: 19.100000	M: -0.105076
T: 19.200000	M: -0.104395
T: 19.300000	M: -0.103824
T: 19.400000	M: -0.104116
