T: 8.500000	M: -0.241577
T: 8.600000	M: -0.238600
T: 8.700000	M: -0.235152
T: 8.800000	M: -0.230559
T: 8.900000	M: -0.230002
T: 9.000000	M: -0.226433
T: 9.100000	M: -0.225484
T: 9.200000	M: -0.221306
T: 9.300000	M: -0.219825
T: 9.400000	M: -0.217181
