T: 1.500000	M: -1.951555
T: 1.600000	M: -1.928809
T: 1.700000	M: -1.899740
T: 1.800000	M: -1.859011
T: 1.900000	M: -1.807667
T: 2.000000	M: -1.747875
T: 2.100000	M: -1.660614
T: 2.200000	M: -1.560113
T: 2.300000	M: -1.442256
T: 2.400000	M: -1.308659
