T: 14.500000	M: -0.138997
T: 14.600000	M: -0.136940
T: 14.700000	M: -0.138053
T: 14.800000	M: -0.136439
T: 14.900000	M: -0.134901
T: 15.000000	M: -0.133834
T: 15.100000	M: -0.133469
T: 15.200000	M: -0.131540
T: 15.300000	M: -0.132657
T: 15.400000	M: -0.130272
