T: 19.500000	M: -0.103632
T: 19.600000	M: -0.102208
T: 19.700000	M: -0.101878
T: 19.800000	M: -0.101842
T: 19.900000	M: -0.099422
T: 20.000000	M: -0.100614
T: 20.100000	M: -0.100737
T: 20.200000	M: -0.100221
T: 20.300000	M: -0.099110
T: 20.400000	M: -0.097508
