T: 12.500000	M: -0.160978
T: 12.600000	M: -0.159283
T: 12.700000	M: -0.158338
T: 12.800000	M: -0.158142
T: 12.900000	M: -0.156162
T: 13.000000	M: -0.155977
T: 13.100000	M: -0.154030
T: 13.200000	M: -0.153243
T: 13.300000	M: -0.152171
T: 13.400000	M: -0.150475
