T: 11.500000	M: -0.177314
T: 11.600000	M: -0.174096
T: 11.700000	M: -0.171641
T: 11.800000	M: -0.172868
T: 11.900000	M: -0.168718
T: 12.000000	M: -0.169323
T: 12.100000	M: -0.166060
T: 12.200000	M: -0.165884
T: 12.300000	M: -0.164540
T: 12.400000	M: -0.163472
