T: 2.500000	M: -1.192767
T: 2.600000	M: -1.086204
T: 2.700000	M: -0.995873
T: 2.800000	M: -0.933343
T: 2.900000	M: -0.869844
T: 3.000000	M: -0.826069
T: 3.100000	M: -0.784529
T: 3.200000	M: -0.744169
T: 3.300000	M: -0.715619
T: 3.400000	M: -0.687972
