T: 17.500000	M: -0.115628
T: 17.600000	M: -0.112947
T: 17.700000	M: -0.112414
T: 17.800000	M: -0.113334
T: 17.900000	M: -0.112002
T: 18.000000	M: -0.110987
T: 18.100000	M: -0.110663
T: 18.200000	M: -0.110720
T: 18.300000	M: -0.110467
T: 18.400000	M: -0.109180
