T: 9.500000	M: -0.214586
T: 9.600000	M: -0.211412
T: 9.700000	M: -0.209529
T: 9.800000	M: -0.206733
T: 9.900000	M: -0.207388
T: 10.000000	M: -0.203208
T: 10.100000	M: -0.202487
T: 10.200000	M: -0.199002
T: 10.300000	M: -0.197146
T: 10.400000	M: -0.195465
