T: 3.500000	M: -0.661104
T: 3.600000	M: -0.634668
T: 3.700000	M: -0.615967
T: 3.800000	M: -0.597251
T: 3.900000	M: -0.576122
T: 4.000000	M: -0.558552
T: 4.100000	M: -0.540939
T: 4.200000	M: -0.525027
T: 4.300000	M: -0.512461
T: 4.400000	M: -0.496267
