3.132092 0.063850
3.162092 0.063137
3.102092 0.064350
3.222092 0.061112
3.042092 0.064670
3.282092 0.058479
2.982092 0.064101
3.342092 0.055425
2.922092 0.062764
3.402092 0.052182
2.862092 0.060828
3.462092 0.048906
2.802092 0.058500
3.522092 0.045714
2.742092 0.055968
3.582092 0.042682
2.682092 0.053374
3.642092 0.039835
2.622092 0.050823
3.702092 0.037211
2.562092 0.048367
3.762092 0.034799
2.502092 0.046051
3.822092 0.032602
2.442092 0.043893
3.882092 0.030591
2.382092 0.041904
3.942092 0.028756
2.322092 0.040071
4.002092 0.027076
2.262092 0.038392
4.062092 0.025549
2.202092 0.036849
4.122092 0.024151
2.142092 0.035436
4.182092 0.022871
2.082092 0.034141
4.242092 0.021694
2.022092 0.032960
4.302092 0.020605
1.962092 0.031873
4.362092 0.019607
1.902092 0.030877
4.422092 0.018688
1.842092 0.029957
4.482092 0.017833
1.782092 0.029114
4.542092 0.017040
1.722092 0.028337
4.602092 0.016306
1.662092 0.027621
4.662092 0.015619
1.602092 0.026960
4.722092 0.014979
1.542092 0.026349
4.782092 0.014381
1.482092 0.025786
4.842092 0.013822
1.422092 0.025262
4.902092 0.013297
1.362092 0.024782
4.962092 0.012801
1.302092 0.024335
5.022092 0.012337
1.242092 0.023924
5.082092 0.011900
1.182092 0.023542
5.142092 0.011489
1.122092 0.023190
5.202092 0.011100
1.062092 0.022866
5.262092 0.010728
1.002092 0.022567
5.322092 0.010380
0.942092 0.022291
5.382092 0.010049
0.882092 0.022039
5.442092 0.009736
0.822092 0.021807
5.502092 0.009439
0.762092 0.021596
5.562092 0.009155
0.702092 0.021404
5.622092 0.008883
0.642092 0.021233
5.682092 0.008624
0.582092 0.021077
5.742092 0.008381
0.522092 0.020938
5.802092 0.008147
0.462092 0.020816
5.862092 0.007923
0.402092 0.020711
5.922092 0.007705
0.342092 0.020618
5.982092 0.007500
0.282092 0.020546
6.042092 0.007307
0.222092 0.020487
6.102092 0.007116
0.162092 0.020447
