T: 1.000000	C: 0.015347
T: 1.050000	C: 0.020523
T: 1.100000	C: 0.026599
T: 1.150000	C: 0.033807
T: 1.200000	C: 0.042383
T: 1.250000	C: 0.055063
T: 1.300000	C: 0.066570
T: 1.350000	C: 0.082147
T: 1.400000	C: 0.096551
T: 1.450000	C: 0.115340
T: 1.500000	C: 0.138146
T: 1.550000	C: 0.158260
T: 1.600000	C: 0.179975
T: 1.650000	C: 0.214568
T: 1.700000	C: 0.241788
T: 1.750000	C: 0.274071
T: 1.800000	C: 0.334594
T: 1.850000	C: 0.378243
T: 1.900000	C: 0.431580
T: 1.950000	C: 0.505551
T: 2.000000	C: 0.562440
T: 2.050000	C: 0.673070
T: 2.100000	C: 0.808385
T: 2.150000	C: 0.995340
T: 2.200000	C: 1.236575
T: 2.250000	C: 1.964549
T: 2.300000	C: 1.996570
T: 2.350000	C: 1.376243
T: 2.400000	C: 1.093284
T: 2.450000	C: 0.905488
T: 2.500000	C: 0.784200
T: 2.550000	C: 0.718160
T: 2.600000	C: 0.607142
T: 2.650000	C: 0.573331
T: 2.700000	C: 0.509164
T: 2.750000	C: 0.491789
T: 2.800000	C: 0.449313
T: 2.850000	C: 0.409010
T: 2.900000	C: 0.370926
T: 2.950000	C: 0.356083
T: 3.000000	C: 0.327702
T: 3.050000	C: 0.301185
T: 3.100000	C: 0.270475
T: 3.150000	C: 0.261126
T: 3.200000	C: 0.253248
T: 3.250000	C: 0.232435
T: 3.300000	C: 0.221371
T: 3.350000	C: 0.208040
T: 3.400000	C: 0.199688
T: 3.450000	C: 0.180249
T: 3.500000	C: 0.173686
T: 3.550000	C: 0.162441
T: 3.600000	C: 0.158156
T: 3.650000	C: 0.147330
T: 3.700000	C: 0.140924
T: 3.750000	C: 0.132796
T: 3.800000	C: 0.131271
T: 3.850000	C: 0.123892
T: 3.900000	C: 0.115676
T: 3.950000	C: 0.109394
