T: 1.000000	C: 0.015008
T: 1.050000	C: 0.020240
T: 1.100000	C: 0.026920
T: 1.150000	C: 0.034903
T: 1.200000	C: 0.043757
T: 1.250000	C: 0.054779
T: 1.300000	C: 0.066910
T: 1.350000	C: 0.081612
T: 1.400000	C: 0.097824
T: 1.450000	C: 0.114386
T: 1.500000	C: 0.136630
T: 1.550000	C: 0.158538
T: 1.600000	C: 0.186010
T: 1.650000	C: 0.214320
T: 1.700000	C: 0.245086
T: 1.750000	C: 0.284730
T: 1.800000	C: 0.326046
T: 1.850000	C: 0.376341
T: 1.900000	C: 0.437182
T: 1.950000	C: 0.496651
T: 2.000000	C: 0.579978
T: 2.050000	C: 0.684722
T: 2.100000	C: 0.814914
T: 2.150000	C: 0.996418
T: 2.200000	C: 1.262917
T: 2.250000	C: 1.795409
T: 2.300000	C: 2.050351
T: 2.350000	C: 1.277117
T: 2.400000	C: 1.037432
T: 2.450000	C: 0.883844
T: 2.500000	C: 0.781066
T: 2.550000	C: 0.703700
T: 2.600000	C: 0.638551
T: 2.650000	C: 0.576610
T: 2.700000	C: 0.527061
T: 2.750000	C: 0.476050
T: 2.800000	C: 0.436978
T: 2.850000	C: 0.406369
T: 2.900000	C: 0.375706
T: 2.950000	C: 0.350636
T: 3.000000	C: 0.325130
T: 3.050000	C: 0.301007
T: 3.100000	C: 0.286901
T: 3.150000	C: 0.266034
T: 3.200000	C: 0.251550
T: 3.250000	C: 0.233099
T: 3.300000	C: 0.222115
T: 3.350000	C: 0.208891
T: 3.400000	C: 0.197456
T: 3.450000	C: 0.186181
T: 3.500000	C: 0.176015
T: 3.550000	C: 0.167732
T: 3.600000	C: 0.158467
T: 3.650000	C: 0.150276
T: 3.700000	C: 0.142140
T: 3.750000	C: 0.134472
T: 3.800000	C: 0.128576
T: 3.850000	C: 0.122456
T: 3.900000	C: 0.116976
T: 3.950000	C: 0.111813
